,Time,Flux
11576,1946.5140357185214,'5279.8003'
11577,1946.5154246338752,'5275.166'
11578,1946.5168135492293,'5267.0176'
11579,1946.518202464583,'5300.0015'
11580,1946.519591379937,'5300.806'
11581,1946.5209802952909,'5294.938'
11582,1946.5223692107038,'5283.121'
11583,1946.5237581260583,'5282.7173'
11584,1946.525147041412,'5274.1406'
11585,1946.526535956766,'5283.091'
11586,1946.52792487212,'5256.998'
11587,1946.529313787532,'5260.953'
11588,1946.5307027028857,'5251.4272'
11589,1946.5320916182397,'5263.8335'
11590,1946.5334805336524,'5268.569'
11591,1946.5348694490071,'5270.0845'
11592,1946.536258364361,'5271.3867'
11593,1946.537647279773,'5256.651'
11594,1946.539036195127,'5269.324'
11595,1946.5404251105392,'5253.246'
11596,1946.541814025893,'5273.678'
11597,1946.543202941305,'5258.346'
11598,1946.5445918566597,'5250.362'
11599,1946.5459807720724,'5286.9956'
11600,1946.5473696874262,'5251.3486'
11601,1946.5487586028385,'5266.447'
11602,1946.5501475181923,'5261.752'
11603,1946.5515364336043,'5271.024'
11604,1946.5529253489583,'5258.5234'
11605,1946.5543142643703,'5246.977'
11606,1946.555703179783,'5265.2754'
11607,1946.5570920951377,'5248.2065'
11608,1946.5584810105497,'5270.3696'
11609,1946.559869925962,'5263.106'
11610,1946.561258841374,'5269.238'
11611,1946.562647756728,'5268.987'
11612,1946.5640366721393,'5280.2188'
11613,1946.5654255875506,'5272.4473'
11614,1946.5668145029636,'5256.9644'
11615,1946.5682034183762,'5276.843'
11616,1946.5695923337885,'5256.7837'
11617,1946.5709812491423,'5259.0625'
11618,1946.5723701645543,'5277.297'
11619,1946.5737590799663,'5264.8877'
11620,1946.5751479953785,'5293.4023'
11621,1946.5765369107905,'5271.8813'
11622,1946.5779258262032,'5280.187'
11623,1946.5793147416161,'5259.3877'
11624,1946.5807036570282,'5268.52'
11625,1946.5820925724404,'5241.5864'
11626,1946.5834814878524,'5277.654'
11627,1946.5848704033228,'5270.763'
11628,1946.5862593187348,'5272.656'
11629,1946.5876482341478,'5291.404'
11630,1946.5890371495605,'5271.961'
11631,1946.5904260649725,'5261.8813'
11632,1946.5918149803847,'5275.729'
11633,1946.593203895855,'5275.8555'
11634,1946.594592811267,'5264.32'
11635,1946.595981726679,'5272.574'
11636,1946.5973706420912,'5268.0864'
11637,1946.598759557562,'5262.9253'
11638,1946.600148472975,'5288.529'
11639,1946.601537388387,'5277.013'
11640,1946.6029263038572,'5273.4507'
11641,1946.6043152192694,'5275.8413'
11642,1946.6057041347399,'5253.206'
11643,1946.607093050152,'5278.8257'
11644,1946.608481965622,'5292.6416'
11645,1946.609870881035,'5260.304'
11646,1946.611259796506,'5273.1675'
11647,1946.612648711918,'5275.6465'
11648,1946.6140376273884,'5246.2944'
11649,1946.6154265428004,'5251.5845'
11650,1946.6168154582706,'5280.7837'
